Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.8583282114320836,0.7403273809523809,0.6345663265306123,0.6833791208791209
Logistic Regression,0.8590964966195451,0.7464042392127176,0.6288265306122449,0.682589131187262
KNN,0.8457283343577136,0.6915760869565217,0.6492346938775511,0.6697368421052632
